fold_id,market,variant,test_season,train_rows,calibration_rows,test_rows,coverage,rows,accuracy,brier_score,log_loss,roc_auc,average_precision,brier_skill_score,log_loss_skill_score,ece_10,mean_probability,actual_rate,status,reason,feature_version,model_version
fold_08,btts,legacy,2425,3040,380,380,1.0,380,0.5157894736842106,0.2512469071155408,0.6956711407411129,0.48892853097746064,0.5600127671592665,-0.008184897655863388,-0.005942611612276938,0.06674809632191747,0.5069361142043983,0.5736842105263158,ok,,pre-match-rolling-v0.2,btts-logistic-v0.2
fold_08,btts,platt_expanded,2425,3040,380,380,1.0,380,0.5710526315789474,0.24688437710365882,0.6871300373028489,0.49493147581832597,0.5639863002785916,0.009320738230540915,0.006407850259096293,0.03645091291714909,0.6073772586968946,0.5736842105263158,ok,,pre-match-rolling-v0.2,btts-logistic-v0.2
fold_01,cards,constant_train_rate,1718,380,380,380,1.0,380,0.6052631578947368,0.23894736842105266,0.6708776401244767,0.5,0.39473684210526316,0.0,0.0,0.0052631578947368585,0.4,0.39473684210526316,ok,,card-team-referee-rolling-v0.2,cards-logistic-v0.2
fold_01,cards,referee_enhanced,1718,380,380,380,1.0,380,0.5210526315789473,0.2634260927158267,0.728206452323428,0.5102898550724638,0.4161358983254446,-0.10244400035257839,-0.08545345495240286,0.13030052149306784,0.4648047338255977,0.39473684210526316,ok,,card-team-referee-rolling-v0.2,cards-logistic-v0.2
fold_01,cards,legacy,1718,380,380,380,1.0,380,0.5157894736842106,0.2527983600348564,0.7002394000665509,0.49801449275362314,0.40820013770721075,-0.057966704991689655,-0.04376619250065694,0.10282080298507412,0.4717661810178208,0.39473684210526316,ok,,card-team-referee-rolling-v0.2,cards-logistic-v0.2
fold_01,cards,platt_referee_enhanced,1718,380,380,380,1.0,380,0.4842105263157895,0.25425202906381245,0.7016802184257384,0.48971014492753623,0.4184467059813458,-0.06405034189701242,-0.04591385441843987,0.11489577575424605,0.5096326178595092,0.39473684210526316,ok,,card-team-referee-rolling-v0.2,cards-logistic-v0.2
fold_02,cards,constant_train_rate,1819,760,380,380,1.0,380,0.6105263157894737,0.24228704986149588,0.6776870938090748,0.5,0.3894736842105263,0.0,0.0,0.06710526315789472,0.45657894736842114,0.3894736842105263,ok,,card-team-referee-rolling-v0.2,cards-logistic-v0.2
fold_02,cards,referee_enhanced,1819,760,380,380,1.0,380,0.5368421052631579,0.2522078646701504,0.6988282830123239,0.5361428238583411,0.40913756925473016,-0.04094653352016042,-0.03119609240958221,0.10558786191840355,0.4928338482115421,0.3894736842105263,ok,,card-team-referee-rolling-v0.2,cards-logistic-v0.2
fold_02,cards,legacy,1819,760,380,380,1.0,380,0.5105263157894737,0.25347326643389034,0.7006772947571007,0.4882047996272134,0.38075530268775587,-0.04616927144388905,-0.033924507575915364,0.09861274809124418,0.48808643230177057,0.3894736842105263,ok,,card-team-referee-rolling-v0.2,cards-logistic-v0.2
fold_02,cards,platt_referee_enhanced,1819,760,380,380,1.0,380,0.6105263157894737,0.23837165961521534,0.669733475186722,0.4638571761416589,0.37054079367344717,0.01616013009576367,0.011736417433668267,0.009813741734852485,0.3953147503480315,0.3894736842105263,ok,,card-team-referee-rolling-v0.2,cards-logistic-v0.2
